"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","trial","responses","view_history","x","y","actor","target_emotion"
"image-keyboard-response","728","2927480","0.0-14.0-2.127","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","729","2928519","0.0-14.0-3.127","853.1000000238419","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-61","-51","",""
"html-keyboard-response","730","2929524","0.0-14.0-0.128","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","731","2934946","0.0-14.0-1.128","","","","","","","","","","","",""
"image-keyboard-response","732","2935459","0.0-14.0-2.128","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","733","2937220","0.0-14.0-3.128","1628.199999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","72","104","",""
"html-keyboard-response","734","2938234","0.0-14.0-0.129","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","735","2942922","0.0-14.0-1.129","","","","","","","","","","","",""
"image-keyboard-response","736","2943429","0.0-14.0-2.129","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","737","2944734","0.0-14.0-3.129","1190.300000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","72","105","",""
"html-keyboard-response","738","2945735","0.0-14.0-0.130","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","739","2952067","0.0-14.0-1.130","","","","","","","","","","","",""
"image-keyboard-response","740","2952574","0.0-14.0-2.130","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","741","2954919","0.0-14.0-3.130","1719.5999999642372","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","60","69","",""
"html-keyboard-response","742","2955930","0.0-14.0-0.131","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","743","2961175","0.0-14.0-1.131","","","","","","","","","","","",""
"image-keyboard-response","744","2961681","0.0-14.0-2.131","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","745","2973355","0.0-14.0-3.131","11425.5","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-60","-34","",""
"html-keyboard-response","746","2974367","0.0-14.0-0.132","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","747","2979101","0.0-14.0-1.132","","","","","","","","","","","",""
"image-keyboard-response","748","2979607","0.0-14.0-2.132","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","749","3001829","0.0-14.0-3.132","21528.69999998808","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","53","74","",""
"html-keyboard-response","750","3002839","0.0-14.0-0.133","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","751","3008113","0.0-14.0-1.133","","","","","","","","","","","",""
"image-keyboard-response","752","3008617","0.0-14.0-2.133","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","753","3009760","0.0-14.0-3.133","853.0999999642372","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","46","109","",""
"html-keyboard-response","754","3010762","0.0-14.0-0.134","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","755","3016635","0.0-14.0-1.134","","","","","","","","","","","",""
"image-keyboard-response","756","3017145","0.0-14.0-2.134","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","757","3019210","0.0-14.0-3.134","1577.300000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-37","-83","",""
